lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,tmin_fc,tmax_fc,tavg_fc,dew_point_fc,rh_mean_fc,prcp_fc,snow_fc,snwd_fc,solar_rad_fc,cloud_cover_fc,hdd_fc,cdd_fc,tavg_3day_fc,cdd_3day_fc,hdd_3day_fc,is_weekend_next,is_holiday_next,daylight_hours_next
131364,130168.0,129724.0,119214.0,131988.0,133541.0,133837.0,138459.0,143977.0,139220.0,131010.6,132599.5,31.0,43.0,37.0,26.6,63.0,0.4,0.0,0.0,14.26,48.0,13.0,0.0,44.0,0.0,6.0,0.0,0.0,11.17
133929,131364.0,130168.0,129724.0,138646.0,136077.0,136492.0,140924.0,146740.0,143977.0,130921.4,132424.0,29.0,42.0,35.5,11.6,42.0,0.0,0.0,0.0,16.15,29.0,14.5,0.0,39.3,0.0,10.7,0.0,0.0,11.22
138016,133929.0,131364.0,130168.0,141414.0,139289.0,135744.0,137659.0,143568.0,146740.0,130247.6,132336.6,25.0,35.0,30.0,10.3,44.0,0.0,0.0,0.0,14.63,27.0,20.0,0.0,34.2,0.0,15.8,1.0,0.0,11.26
129490,138016.0,133929.0,131364.0,125920.0,134595.0,127588.0,125498.0,144308.0,143568.0,129762.1,132321.8,25.0,44.0,34.5,15.2,51.0,0.0,0.0,0.0,17.07,5.0,15.5,0.0,33.3,0.0,16.7,1.0,0.0,11.31
126062,129490.0,138016.0,133929.0,119214.0,126028.0,124149.0,122930.0,131932.0,144308.0,130272.1,131940.7,40.0,58.0,49.0,31.2,64.0,0.0,0.0,0.0,16.31,48.0,1.0,0.0,37.8,0.0,12.2,0.0,0.0,11.35
131611,126062.0,129490.0,138016.0,129724.0,125814.0,135691.0,133021.0,127285.0,131932.0,131250.4,131554.1,49.0,59.0,54.0,45.2,86.0,0.26,0.0,0.0,10.17,85.0,0.0,0.0,45.8,0.0,5.5,0.0,0.0,11.4
128988,131611.0,126062.0,129490.0,130168.0,134632.0,133740.0,132023.0,141496.0,127285.0,131520.0,131757.9,45.0,56.0,50.5,31.4,57.0,0.0,0.0,0.0,16.91,36.0,0.0,0.0,51.2,0.0,0.3,0.0,0.0,11.44
128251,128988.0,131611.0,126062.0,131364.0,131988.0,133541.0,133837.0,145819.0,141496.0,131351.4,131959.8,39.0,51.0,45.0,28.5,62.0,0.0,0.0,0.0,17.93,35.0,5.0,0.0,49.8,0.0,1.7,0.0,0.0,11.49
129517,128251.0,128988.0,131611.0,133929.0,138646.0,136077.0,136492.0,151133.0,145819.0,130906.7,131800.8,37.0,45.0,41.0,35.3,86.0,0.37,0.0,0.0,6.23,76.0,9.0,0.0,45.5,0.0,4.7,0.0,0.0,11.53
132096,129517.0,128251.0,128988.0,138016.0,141414.0,139289.0,135744.0,150928.0,151133.0,130276.4,131717.3,36.0,48.0,42.0,21.0,55.0,0.0,0.0,0.0,18.24,43.0,8.0,0.0,42.7,0.0,7.3,1.0,0.0,11.58
122125,132096.0,129517.0,128251.0,129490.0,125920.0,134595.0,127588.0,144237.0,150928.0,129430.7,131659.3,35.0,59.0,47.0,21.8,45.0,0.0,0.0,0.0,17.78,20.0,3.0,0.0,43.3,0.0,6.7,1.0,0.0,11.63
113235,122125.0,132096.0,129517.0,126062.0,119214.0,126028.0,124149.0,127330.0,144237.0,128378.6,131180.4,47.0,72.0,59.5,31.0,45.0,0.0,0.0,0.0,18.53,27.0,0.0,0.0,49.5,0.0,3.7,0.0,0.0,11.67
126959,113235.0,122125.0,132096.0,131611.0,129724.0,125814.0,135691.0,122703.0,127330.0,126546.1,130430.1,54.0,65.0,59.5,43.1,67.0,0.0,0.0,0.0,5.75,84.0,0.0,0.0,55.3,0.0,1.0,0.0,0.0,11.72
125748,126959.0,113235.0,122125.0,128988.0,130168.0,134632.0,133740.0,134548.0,122703.0,125881.6,130409.1,43.0,57.0,50.0,34.7,64.0,0.0,0.0,0.0,15.35,66.0,0.0,0.0,56.3,0.0,0.0,0.0,0.0,11.76
124617,125748.0,126959.0,113235.0,128251.0,131364.0,131988.0,133541.0,137516.0,134548.0,125418.7,130462.4,43.0,50.0,46.5,35.9,77.0,0.03,0.0,0.0,6.4,73.0,3.5,0.0,52.0,0.0,1.2,0.0,0.0,11.81
128016,124617.0,125748.0,126959.0,129517.0,133929.0,138646.0,136077.0,137522.0,137516.0,124899.6,130093.3,45.0,70.0,57.5,43.0,72.0,0.26,0.0,0.0,10.23,68.0,0.0,0.0,51.3,0.0,1.2,0.0,0.0,11.85
126067,128016.0,124617.0,125748.0,132096.0,138016.0,141414.0,139289.0,132981.0,137522.0,124685.1,129902.5,43.0,57.0,50.0,25.6,44.0,0.0,0.0,0.0,18.91,48.0,0.0,0.0,51.3,0.0,1.2,1.0,0.0,11.9
