lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,tmin_fc,tmax_fc,tavg_fc,dew_point_fc,rh_mean_fc,rh_max_fc,prcp_fc,snow_fc,snwd_fc,solar_rad_fc,cloud_cover_fc,sunshine_hours_fc,hdd_fc,cdd_fc,tavg_3day_fc,cdd_3day_fc,hdd_3day_fc,is_weekend_next,is_holiday_next,daylight_hours_next,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,doy_sin_1,doy_cos_1,doy_sin_2,doy_cos_2
132023,133021.0,122930.0,125498.0,136552.0,148015.0,134513.0,136907.0,137369.0,131390.0,133577.57142857142,134291.4,39.0,55.0,47.0,30.8,70.0,93.0,0.0,0.0,0.0,3.42,100.0,0.0,3.0,0.0,48.7,0.0,2.0,0.0,0.0,10.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.580454927809098,0.8142923779467267,0.945320046913132,0.3261441535642696
133837,132023.0,133021.0,122930.0,138459.0,143862.0,132082.0,140076.0,132731.0,137369.0,132930.57142857142,134558.93333333332,35.0,41.0,38.0,37.1,92.0,98.0,0.51,0.0,0.0,2.64,100.0,0.0,12.0,0.0,45.7,0.0,5.0,0.0,0.0,10.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5943761565849831,0.804187157621448,0.9559793438440766,0.2934339689665273
136492,133837.0,132023.0,133021.0,140924.0,139314.0,134558.0,144582.0,134941.0,132731.0,132270.2857142857,134415.03333333333,33.0,56.0,44.5,34.1,80.0,99.0,0.25,0.0,0.0,5.57,91.0,4.41,5.5,0.0,43.2,0.0,6.8,0.0,0.0,10.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6081214998935418,0.7938439653781019,0.9655071658143364,0.2603764827344581
135744,136492.0,133837.0,132023.0,137659.0,135154.0,144695.0,137402.0,137591.0,134941.0,131637.14285714287,134401.2,30.0,41.0,35.5,17.6,53.0,82.0,0.0,0.0,0.0,9.73,39.0,7.44,14.5,0.0,39.3,0.0,10.7,1.0,0.0,10.37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6216868902665479,0.7832658619336791,0.9738922359149924,0.22701082094141847
127588,135744.0,136492.0,133837.0,125498.0,126400.0,137365.0,119972.0,136194.0,137591.0,131363.57142857142,134256.8,31.0,44.0,37.5,28.5,81.0,96.0,0.0,0.0,0.0,8.13,72.0,8.68,12.5,0.0,39.2,0.0,10.8,1.0,0.0,10.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6350683134867438,0.7724559775191742,0.981124629771712,0.19337647441020586
124149,127588.0,135744.0,136492.0,122930.0,122177.0,126410.0,116201.0,133854.0,136194.0,131662.14285714287,133690.33333333334,42.0,47.0,44.5,38.1,87.0,97.0,0.37,0.0,0.0,2.45,100.0,0.0,5.5,0.0,39.2,0.0,10.8,0.0,0.0,10.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6482618097757122,0.7614175109532997,0.9871957872910085,0.15951325197263655
135691,124149.0,127588.0,135744.0,133021.0,136627.0,142280.0,132956.0,132123.0,133854.0,131836.2857142857,133248.56666666668,43.0,48.0,45.5,42.0,96.0,99.0,0.28,0.0,0.0,2.4,99.0,0.48,4.5,0.0,42.5,0.0,7.5,0.0,0.0,10.49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6612634749656386,0.7501537286959042,0.992098522791769,0.12546123335273648
133740,135691.0,124149.0,127588.0,132023.0,136552.0,148015.0,134513.0,143162.0,132123.0,132217.7142857143,133772.53333333333,37.0,46.0,41.5,27.3,62.0,82.0,0.13,0.0,0.0,11.29,90.0,7.56,8.5,0.0,43.8,0.0,6.2,0.0,0.0,10.53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6740694616546161,0.7386679638813748,0.9958270335100595,0.09126072172931188
133541,133740.0,135691.0,124149.0,133837.0,138459.0,143862.0,132082.0,147267.0,143162.0,132463.0,134357.16666666666,37.0,44.0,40.5,37.0,91.0,98.0,0.39,0.0,0.0,1.74,100.0,0.0,9.5,0.0,42.5,0.0,7.5,0.0,0.0,10.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6866759803451553,0.726963615332308,0.998376906467142,0.056952196034039754
136077,133541.0,133740.0,135691.0,136492.0,140924.0,139314.0,134558.0,141368.0,147267.0,132420.7142857143,134376.66666666666,18.0,40.0,29.0,12.7,52.0,83.0,0.0,0.0,0.0,14.48,13.0,10.15,21.0,0.0,37.0,0.0,13.0,0.0,0.0,10.62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6990793005655562,0.7150441465537444,0.9997451236925734,0.022576263041545485
