prcp,tmin,tmax,rh_mean,rh_max,dew_point,solar_rad,cloud_cover,daylight_hours,sunshine_hours,is_weekend,is_holiday,day_of_week,tavg,hdd,cdd,tavg_3day,cdd_3day,hdd_3day,tavg_lag1,lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30
0.13,37.0,46.0,62,82,27.3,11.29,90,10.53,7.56,0,0,2,41.5,8.5,0.0,43.8,0.0,6.2,45.5,133541,133740.0,135691.0,124149.0,133837.0,138459.0,143862.0,132082.0,147267.0,143162.0,132463.0,134357.2
0.39,37.0,44.0,91,98,37.0,1.74,100,10.57,0.0,0,0,3,40.5,9.5,0.0,42.5,0.0,7.5,41.5,136077,133541.0,133740.0,135691.0,136492.0,140924.0,139314.0,134558.0,141368.0,147267.0,132420.7,134376.7
0.0,18.0,40.0,52,83,12.7,14.48,13,10.62,10.15,0,0,4,29.0,21.0,0.0,37.0,0.0,13.0,40.5,139289,136077.0,133541.0,133740.0,135744.0,137659.0,135154.0,144695.0,139781.0,141368.0,132361.4,134428.8
0.0,14.0,31.0,52,74,6.3,14.59,37,10.66,9.68,1,0,5,22.5,27.5,0.0,30.7,0.0,19.3,29.0,134595,139289.0,136077.0,133541.0,127588.0,125498.0,126400.0,137365.0,134017.0,139781.0,132867.9,134669.0
0.0,30.0,44.0,66,83,23.8,8.2,86,10.7,6.04,1,0,6,37.0,13.0,0.0,29.5,0.0,20.5,22.5,126028,134595.0,139289.0,136077.0,124149.0,122930.0,122177.0,126410.0,122681.0,134017.0,133868.9,134670.3
0.0,38.0,51.0,67,87,27.6,14.32,57,10.74,10.21,0,1,0,44.5,5.5,0.0,34.7,0.0,15.3,37.0,125814,126028.0,134595.0,139289.0,135691.0,133021.0,136627.0,142280.0,124444.0,122681.0,134137.3,134048.0
0.0,38.0,47.0,84,99,35.2,2.84,96,10.79,0.0,0,0,1,42.5,7.5,0.0,41.3,0.0,8.7,44.5,134632,125814.0,126028.0,134595.0,133740.0,132023.0,136552.0,148015.0,132375.0,124444.0,132726.3,133663.0
0.0,32.0,48.0,61,95,26.8,14.95,39,10.83,10.36,0,0,2,40.0,10.0,0.0,42.3,0.0,7.7,42.5,131988,134632.0,125814.0,126028.0,133541.0,133837.0,138459.0,143862.0,143375.0,132375.0,132853.7,133937.1
0.0,26.0,35.0,53,70,15.0,12.39,74,10.87,9.16,0,0,3,30.5,19.5,0.0,37.7,0.0,12.3,40.0,138646,131988.0,134632.0,125814.0,136077.0,136492.0,140924.0,139314.0,146783.0,143375.0,132631.9,133594.0
0.0,20.0,35.0,46,61,8.3,15.92,0,10.91,10.51,0,0,4,27.5,22.5,0.0,32.7,0.0,17.3,30.5,141414,138646.0,131988.0,134632.0,139289.0,135744.0,137659.0,135154.0,137778.0,146783.0,132998.9,133281.7
